id_candidate,no_trial,ans_candidate,good_ans,result,score,reaction_time,time_stamp
GAL_AUR_019,100,6,6,1,0,1.27,41.74
GAL_AUR_019,101,6,6,1,0,0.33,46.24
GAL_AUR_019,102,6,0,0,0,2.24,52.66
GAL_AUR_019,0,0,0,1,1,1.42,75.69
GAL_AUR_019,1,6,6,1,2,0.64,78.52
GAL_AUR_019,2,6,6,1,3,1.06,81.77
GAL_AUR_019,3,6,6,1,4,0.83,84.78
GAL_AUR_019,4,6,6,1,5,0.44,87.41
GAL_AUR_019,5,6,6,1,6,0.58,90.17
GAL_AUR_019,6,6,6,1,7,0.36,92.71
GAL_AUR_019,7,6,6,1,8,1.08,95.96
GAL_AUR_019,8,0,0,1,9,0.34,98.48
GAL_AUR_019,9,6,6,1,10,0.7,101.34
GAL_AUR_019,10,6,6,1,11,0.45,103.97
GAL_AUR_019,11,6,6,1,12,0.3,106.47
GAL_AUR_019,12,0,0,1,13,0.43,109.09
GAL_AUR_019,13,6,6,1,14,0.61,111.9
GAL_AUR_019,14,6,6,1,15,0.42,114.49
GAL_AUR_019,15,0,6,0,15,1.85,118.54
GAL_AUR_019,16,6,6,1,16,0.76,121.5
GAL_AUR_019,17,6,6,1,17,0.53,124.22
GAL_AUR_019,18,6,6,1,18,0.63,127.04
GAL_AUR_019,19,0,0,1,19,0.35,129.57
GAL_AUR_019,20,6,6,1,20,0.53,132.3
GAL_AUR_019,21,6,6,1,21,0.51,135.0
GAL_AUR_019,22,6,6,1,22,0.43,137.6
GAL_AUR_019,23,6,6,1,23,0.55,140.35
GAL_AUR_019,24,0,0,1,24,0.35,142.91
GAL_AUR_019,25,6,6,1,25,0.44,145.52
GAL_AUR_019,26,0,0,1,26,0.25,147.97
GAL_AUR_019,27,6,6,1,27,0.25,150.4
GAL_AUR_019,28,6,6,1,28,0.14,152.73
GAL_AUR_019,29,6,6,1,29,0.3,155.24
GAL_AUR_019,30,0,6,0,29,0.21,157.65
GAL_AUR_019,31,0,0,1,30,0.27,160.11
GAL_AUR_019,32,6,6,1,31,0.24,162.54
GAL_AUR_019,33,0,0,1,32,0.3,165.07
GAL_AUR_019,34,0,0,1,33,0.26,167.53
GAL_AUR_019,35,6,6,1,34,0.23,169.95
GAL_AUR_019,36,0,6,0,34,0.32,172.44
GAL_AUR_019,37,0,0,1,35,0.24,174.9
GAL_AUR_019,38,0,0,1,36,0.26,177.36
GAL_AUR_019,39,6,6,1,37,0.46,180.02
GAL_AUR_019,40,0,0,1,38,0.28,182.5
GAL_AUR_019,41,0,0,1,39,0.33,185.0
GAL_AUR_019,42,6,6,1,40,0.34,187.51
GAL_AUR_019,43,6,6,1,41,0.42,190.13
GAL_AUR_019,44,6,6,1,42,0.28,192.6
GAL_AUR_019,45,6,6,1,43,0.81,195.58
GAL_AUR_019,46,6,6,1,44,0.01,197.76
GAL_AUR_019,47,6,6,1,45,1.27,201.21
GAL_AUR_019,48,0,0,1,46,0.32,203.75
GAL_AUR_019,49,0,0,1,47,0.33,206.27
GAL_AUR_019,50,0,0,1,48,0.27,208.76
GAL_AUR_019,51,6,6,1,49,0.4,211.34
GAL_AUR_019,52,6,6,1,50,0.22,213.76
GAL_AUR_019,53,6,6,1,51,0.36,216.31
GAL_AUR_019,54,6,6,1,52,0.33,218.84
GAL_AUR_019,55,0,6,0,52,0.71,221.75
GAL_AUR_019,56,0,6,0,52,0.37,224.29
GAL_AUR_019,57,6,6,1,53,0.35,226.86
GAL_AUR_019,58,0,6,0,53,0.92,229.97
GAL_AUR_019,59,6,6,1,54,0.55,232.7
GAL_AUR_019,60,6,6,1,55,0.57,235.46
GAL_AUR_019,61,6,6,1,56,0.3,237.96
GAL_AUR_019,62,6,6,1,57,1.22,241.4
GAL_AUR_019,63,6,6,1,58,0.5,244.09
GAL_AUR_019,64,6,6,1,59,0.4,246.67
GAL_AUR_019,65,6,6,1,60,0.56,249.44
GAL_AUR_019,66,6,6,1,61,2.07,253.7
GAL_AUR_019,67,6,0,0,61,0.41,256.32
GAL_AUR_019,68,0,0,1,62,0.32,258.83
GAL_AUR_019,69,0,6,0,62,0.49,261.51
GAL_AUR_019,70,6,6,1,63,0.21,263.91
GAL_AUR_019,71,0,6,0,63,0.43,266.52
GAL_AUR_019,72,6,6,1,64,0.24,268.94
GAL_AUR_019,73,0,0,1,65,0.29,271.41
GAL_AUR_019,74,0,0,1,66,0.25,273.88
GAL_AUR_019,75,6,6,1,67,0.32,276.4
GAL_AUR_019,76,6,6,1,68,0.45,279.04
GAL_AUR_019,77,6,6,1,69,0.36,281.58
GAL_AUR_019,78,6,6,1,70,0.47,284.24
GAL_AUR_019,79,6,6,1,71,1.6,288.05
GAL_AUR_019,80,6,6,1,72,0.36,290.58
GAL_AUR_019,81,0,0,1,73,0.42,293.21
GAL_AUR_019,82,6,6,1,74,1.23,296.62
GAL_AUR_019,83,6,6,1,75,0.25,299.06
GAL_AUR_019,84,0,0,1,76,0.47,301.71
GAL_AUR_019,85,0,6,0,76,0.78,304.68
GAL_AUR_019,86,6,6,1,77,0.53,307.44
GAL_AUR_019,87,6,6,1,78,4.9,314.55
GAL_AUR_019,88,6,6,1,79,0.37,317.12
GAL_AUR_019,89,6,6,1,80,0.52,319.85
GAL_AUR_019,90,6,0,0,80,0.35,322.39
GAL_AUR_019,91,6,6,1,81,0.34,324.92
GAL_AUR_019,92,6,6,1,82,0.38,327.47
GAL_AUR_019,93,6,6,1,83,1.82,331.49
GAL_AUR_019,94,6,6,1,84,0.72,334.4
GAL_AUR_019,95,6,6,1,85,0.5,337.09
GAL_AUR_019,96,0,6,0,85,0.46,339.72
GAL_AUR_019,97,0,0,1,86,0.48,342.4
GAL_AUR_019,98,0,0,1,87,0.62,345.21
GAL_AUR_019,99,6,6,1,88,0.47,347.84
